"Date","Market","Component","Delmo","Segment","Price"
2017-07-03,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.89345
2017-07-03,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.06965
2017-07-03,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.992305
2017-07-03,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.4044
2017-07-03,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.5468
2017-07-03,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.02
2017-07-03,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.416
2017-07-03,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.52
2017-07-03,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.43325
2017-07-03,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.3675
2017-07-03,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.61055
2017-07-03,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.33515
2017-07-05,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.0385
2017-07-05,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.2448
2017-07-05,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.10429
2017-07-05,"ERCOT ","ZONE N",2018-04-01,"pkPrice",25.89015
2017-07-05,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.0893
2017-07-05,"ERCOT ","ZONE N",2018-06-01,"pkPrice",30.61955
2017-07-05,"ERCOT ","ZONE N",2018-07-01,"pkPrice",47.6
2017-07-05,"ERCOT ","ZONE N",2018-08-01,"pkPrice",67.392
2017-07-05,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.21725
2017-07-05,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.26325
2017-07-05,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.5455
2017-07-05,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.1704
2017-07-06,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.3445
2017-07-06,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.5544
2017-07-06,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.60905
2017-07-06,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.0865
2017-07-06,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.22655
2017-07-06,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.0416
2017-07-06,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.7882
2017-07-06,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.667
2017-07-06,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.34745
2017-07-06,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.34975
2017-07-06,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.61975
2017-07-06,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.2433
2017-07-07,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.2085
2017-07-07,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.4254
2017-07-07,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.6645
2017-07-07,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.1884
2017-07-07,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.22655
2017-07-07,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.32
2017-07-07,"ERCOT ","ZONE N",2018-07-01,"pkPrice",49.3506
2017-07-07,"ERCOT ","ZONE N",2018-08-01,"pkPrice",69.231
2017-07-07,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.34745
2017-07-07,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.3584
2017-07-07,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.65275
2017-07-07,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.3081
2017-07-10,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.7865
2017-07-10,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.993
2017-07-10,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.1915
2017-07-10,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.5268
2017-07-10,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.4919
2017-07-10,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.4832
